;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;checked;category;cossim;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;average reliability
95;PACKAGE;socket.io;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;1;1;1;1;1;1;1;100.00%
96;DOCS;alex-d.github.io;DOCS;DOCS;NEWS;DOCS;DOCS;DOCS;1;NOCLASS;0;0;0;0;0;0;0;0.00%
97;TRAINING;learn.handlebarlabs.com;PACKAGE;DOCS;DOCS;DOCS;DOCS;DOCS;0;TRAINING;1;0;0;0;0;0;0;14.29%
98;NEWS;remote.com;TRAINING;NEWS;NEWS;NEWS;NEWS;NEWS;1;BUSINESS;0;0;0;0;0;0;0;0.00%
99;NOCLASS;www.slate.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;0;1;1;1;1;1;1;85.71%
100;PACKAGE;hyper.is;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;1;1;1;0;1;1;1;85.71%
101;NEWS;developer.apple.com;NOCLASS;DOCS;NOCLASS;NOCLASS;NOCLASS;DOCS;0;DOCS;0;0;1;0;0;0;1;28.57%
102;DOCS;motherboard.vice.com;DOCS;NEWS;DOCS;DOCS;DOCS;DOCS;0;DOCS;1;1;0;1;1;1;1;85.71%
103;PACKAGE;fontpair.co;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;1;1;1;1;1;1;1;100.00%
104;NEWS;help.github.com;NEWS;NEWS;DOCS;NEWS;NEWS;NEWS;1;COMMUITY;0;0;0;0;0;0;0;0.00%
105;DOCS;docs.mongodb.com;DOCS;DOCS;DOCS;DOCS;DOCS;DOCS;0;DOCS;1;1;1;1;1;1;1;100.00%
106;BUSINESS;www.nytimes.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;0;1;1;1;1;1;1;85.71%
;;;;;;;;;;;48;54;42;47;56;53;45;
